"","district_reporting","total_settlements","school_attend_boys_perc","school_attend_girls_perc","no_edu_children_perc","children_removed_perc","no_edu_children","school_not_attend_boys","school_not_attend_girls","children_removed","htr_eie_score","htr_eie_rank","htr_eie_rank_high","protect_incident_extreme_perc","protect_incident_severe_perc","gbv_incidents_perc","phys_injury_perc","no_tazkira_perc","explosive_extreme_perc","explosive_severe_perc","explosive_stress_perc","safety_rating_perc","protect_incident_extreme","protect_incident_severe","gbv_incidents","phys_injury","no_tazkira","explosive_extreme","explosive_severe","explosive_stress","safety_rating","htr_prot_score","htr_prot_rank","htr_prot_rank_high","nutrition_no_access_perc","malnut_extreme_perc","malnut_severe_perc","malnut_stress_perc","nutrition_no_access","malnut_extreme","malnut_severe","malnut_stress","malnutrition_score","htr_nut_score","htr_nut_rank","htr_nut_rank_high","unprotect_water_extreme_perc.x","unprotect_water_severe_perc.x","waste_disposal_severe_perc.x","water_no_access_perc.x","soap_access_perc.x","unprotect_water_extreme.x","unprotect_water_severe.x","waste_disposal_severe.x","water_no_access.x","soap_access.x","htr_wash_score.x","htr_wash_rank.x","htr_wash_high.x","hunger_extreme_perc","hunger_severe_perc","borrow_extreme_perc","borrow_severe_perc","reduced_food_extreme_perc","reduced_food_severe_perc","livestock_impact_extreme_perc","livestock_impact_severe_perc","ag_impact_extreme_perc","ag_impact_severe_perc","hunger_extreme","hunger_severe","borrow_extreme","borrow_severe","reduced_food_extreme","reduced_food_severe","livestock_impact_extreme","livestock_impact_severe","ag_impact_extreme","ag_impact_severe","htr_fsa_score","htr_fsa_rank","htr_fsa_rank_high","unprotect_water_extreme_perc.y","unprotect_water_severe_perc.y","waste_disposal_severe_perc.y","water_no_access_perc.y","soap_access_perc.y","unprotect_water_extreme.y","unprotect_water_severe.y","waste_disposal_severe.y","water_no_access.y","soap_access.y","htr_wash_score.y","htr_wash_rank.y","htr_wash_high.y","shelter_type_severe_perc","no_shelter_open_perc","shelter_destroyed_extreme_perc","shelter_destroyed_severe_perc","nfi_market_perc","shelter_type_severe","no_shelter_open","shelter_destroyed_extreme","shelter_destroyed_severe","nfi_market","htr_esnfi_score","htr_esnfi_rank","htr_esnfi_rank_high","more_people_died_perc","health_functioning_access_perc","health_closed_perc","birth_hospital_perc","health_prio_perc","more_people_died","health_functioning_access","health_closed","birth_hospital","health_prio","htr_health_score","htr_health_rank","htr_health_rank_high","coping_consumed_seed_perc.x","coping_beg_charity_perc.x","coping_sold_land_perc.x","coping_consumed_seed_perc.y","coping_beg_charity_perc.y","coping_sold_land_perc.y"
"1","ab_band",18,0.277777777777778,0.888888888888889,0.277777777777778,0.777777777777778,1,1,6,12,15,3,1,0.944444444444444,0.833333333333333,0.388888888888889,0.611111111111111,0.5,0.444444444444444,0.111111111111111,0.388888888888889,0.277777777777778,9,6,3,6,2,3,0,1,1,31,3,1,0.666666666666667,0,0.333333333333333,0.277777777777778,2,0,2,1,2,4,2,0,0,0.333333333333333,0.555555555555556,0,0.333333333333333,0,2,2,0,1,5,1,0,0,0.111111111111111,0,0.166666666666667,0,0.0555555555555556,0.333333333333333,0.111111111111111,0,0.111111111111111,0,0,0,0,0,0,3,0,0,0,3,1,0,0,0.333333333333333,0.555555555555556,0,0.333333333333333,0,2,2,0,1,5,1,0,0,0.166666666666667,0,0,0.555555555555556,0,0,0,0,2,2,1,0,0.388888888888889,0.333333333333333,0.5,0.222222222222222,0.333333333333333,2,1,6,0,1,10,2,0,0.555555555555556,0.333333333333333,0.722222222222222,0.555555555555556,0.333333333333333,0.722222222222222
"2","alishang",33,0,0.0909090909090909,0.0606060606060606,0.393939393939394,0,0,0,4,4,1,0,0.545454545454545,0.545454545454545,0.363636363636364,0.636363636363636,0.0303030303030303,0.181818181818182,0.181818181818182,0.181818181818182,0.212121212121212,6,4,3,6,0,0,0,0,0,19,2,0,0.848484848484849,0.212121212121212,0.393939393939394,0.393939393939394,3,0,2,1,2,5,2,0,0.181818181818182,0.181818181818182,0.96969696969697,0.0606060606060606,0,0,0,3,0,0,3,1,0,0.0606060606060606,0.242424242424242,0.181818181818182,0.545454545454545,0.0303030303030303,0.121212121212121,0.424242424242424,0.393939393939394,0.0303030303030303,0.424242424242424,0,0,0,2,0,0,3,2,0,2,9,1,0,0.181818181818182,0.181818181818182,0.96969696969697,0.0606060606060606,0,0,0,3,0,0,3,1,0,0,0.303030303030303,0,0.181818181818182,0.909090909090909,0,2,0,0,3,5,1,0,0.575757575757576,0,0.0606060606060606,0.272727272727273,0.636363636363636,4,0,0,1,2,7,2,0,0.878787878787879,0.393939393939394,0.878787878787879,0.878787878787879,0.393939393939394,0.878787878787879
"3","almar",36,0.111111111111111,0.555555555555556,0.0833333333333333,0.333333333333333,0,0,4,4,4,1,0,0.0277777777777778,0.305555555555556,0.0555555555555556,0.111111111111111,0.0833333333333333,0,0,0,0.0277777777777778,0,2,0,0,0,0,0,0,0,2,1,0,0.833333333333333,0,0.138888888888889,0.861111111111111,3,0,0,3,3,6,2,0,0.194444444444444,0.111111111111111,1,0.0555555555555556,0,0,0,3,0,0,3,1,0,0,0.111111111111111,0.138888888888889,0.638888888888889,0.0555555555555556,0.666666666666667,0,0.0555555555555556,0,0.0277777777777778,0,0,0,2,0,2,0,0,0,0,4,1,0,0.194444444444444,0.111111111111111,1,0.0555555555555556,0,0,0,3,0,0,3,1,0,0.138888888888889,0.25,0,0.138888888888889,0.888888888888889,0,2,0,0,3,5,1,0,0.0833333333333333,0.388888888888889,0.222222222222222,0.444444444444444,0.777777777777778,0,1,0,1,3,5,1,0,0.972222222222222,0.916666666666667,1,0.972222222222222,0.916666666666667,1
"4","andar",44,0.136363636363636,0.954545454545455,0.204545454545455,0.977272727272727,0,0,6,12,12,3,1,1,0.818181818181818,0.318181818181818,0.0681818181818182,0,0.204545454545455,0.204545454545455,0.0227272727272727,0.0681818181818182,9,6,3,0,0,0,0,0,0,18,2,0,0.909090909090909,0.181818181818182,0.454545454545455,0.363636363636364,3,0,2,1,2,5,2,0,0,0.0454545454545455,0.954545454545455,0.340909090909091,0,0,0,3,2,0,5,1,0,0,0.0454545454545455,0.159090909090909,0.704545454545455,0.318181818181818,0.545454545454545,0.113636363636364,0.159090909090909,0.0681818181818182,0.568181818181818,0,0,0,2,2,2,0,0,0,4,10,1,0,0,0.0454545454545455,0.954545454545455,0.340909090909091,0,0,0,3,2,0,5,1,0,0,0.795454545454545,0.0227272727272727,0.0454545454545455,0.931818181818182,0,6,0,0,3,9,2,0,0.0227272727272727,0.727272727272727,0.181818181818182,0.704545454545455,0.613636363636364,0,2,0,2,2,6,2,0,0.977272727272727,0.136363636363636,0.818181818181818,0.977272727272727,0.136363636363636,0.818181818181818
"5","andkhoy",22,0.181818181818182,0.318181818181818,0.681818181818182,0.727272727272727,2,0,2,8,10,2,0,0.0454545454545455,0.0909090909090909,0.181818181818182,0.409090909090909,0,0.0909090909090909,0.0454545454545455,0.0909090909090909,0.181818181818182,0,0,0,3,0,0,0,0,0,3,1,0,0.318181818181818,0.136363636363636,0.818181818181818,0.0454545454545455,1,0,6,0,0,1,1,0,0,0.590909090909091,0.681818181818182,0.0909090909090909,0.0454545454545455,0,4,2,0,0,6,1,0,0,0,0,0.136363636363636,0.0454545454545455,0.181818181818182,0.454545454545455,0,0.0454545454545455,0.454545454545455,0,0,0,0,0,0,3,0,0,2,5,1,0,0,0.590909090909091,0.681818181818182,0.0909090909090909,0.0454545454545455,0,4,2,0,0,6,1,0,0,0.136363636363636,0,0.272727272727273,0.772727272727273,0,0,0,2,3,5,1,0,0.181818181818182,0.181818181818182,0.0454545454545455,0.181818181818182,0.454545454545455,0,0,0,0,1,1,1,0,1,1,0.818181818181818,1,1,0.818181818181818
"6","arghandab_zabul",32,0.5625,0.78125,0.59375,0,2,2,6,0,6,2,0,0.59375,0.8125,0.15625,0,0.0625,0,0,0,0,6,6,0,0,0,0,0,0,0,12,1,0,0.90625,0,0,0.9375,3,0,0,3,3,6,2,0,0.625,0.21875,0.125,0,0.1875,6,0,0,0,0,6,1,0,0,0.09375,0.03125,0.34375,0,0.09375,0,0.09375,0,0.0625,0,0,0,1,0,0,0,0,0,0,1,1,0,0.625,0.21875,0.125,0,0.1875,6,0,0,0,0,6,1,0,0,0.03125,0,0.0625,1,0,0,0,0,3,3,1,0,0.25,0.78125,0.03125,1,0.34375,2,3,0,3,1,9,2,0,0.8125,0.53125,0.34375,0.8125,0.53125,0.34375
"7","arghestan",49,0.26530612244898,0.918367346938776,0.836734693877551,0.244897959183673,3,1,6,0,5,2,0,0.877551020408163,0.857142857142857,0.73469387755102,0.775510204081633,0.693877551020408,0.673469387755102,0.673469387755102,0.571428571428571,0.530612244897959,9,6,6,9,2,6,4,2,2,46,4,1,0.959183673469388,0.122448979591837,0.571428571428571,0.306122448979592,3,0,4,1,4,7,3,1,0.163265306122449,0.489795918367347,1,0.142857142857143,0.346938775510204,0,2,3,0,1,6,1,0,0.122448979591837,0.387755102040816,0.244897959183673,0.489795918367347,0.285714285714286,0.224489795918367,0.428571428571429,0.346938775510204,0.122448979591837,0.142857142857143,0,1,0,1,2,0,3,2,0,0,9,1,0,0.163265306122449,0.489795918367347,1,0.142857142857143,0.346938775510204,0,2,3,0,1,6,1,0,0,0.510204081632653,0,0.0612244897959184,0.836734693877551,0,4,0,0,3,7,1,0,0.530612244897959,0.918367346938776,0.0204081632653061,0.918367346938776,0.73469387755102,4,3,0,3,2,12,3,1,0.36734693877551,0.551020408163265,0.306122448979592,0.36734693877551,0.551020408163265,0.306122448979592
"8","baghlan_e_jadid",47,0.0638297872340425,0.723404255319149,0.0425531914893617,0.234042553191489,0,0,4,0,0,1,0,0.25531914893617,0.957446808510638,0.957446808510638,0.170212765957447,0,0.148936170212766,0.446808510638298,0.425531914893617,0,3,6,9,0,0,0,2,1,0,21,2,0,0.319148936170213,0,0,1,1,0,0,3,3,4,2,0,0.191489361702128,0.276595744680851,0.404255319148936,0.170212765957447,0,0,2,1,0,0,3,1,0,0,0.0212765957446809,0,0,0,0,0.191489361702128,0.361702127659574,0.0425531914893617,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0.191489361702128,0.276595744680851,0.404255319148936,0.170212765957447,0,0,2,1,0,0,3,1,0,0.148936170212766,0,0,0,0.170212765957447,0,0,0,0,0,0,1,0,0.0212765957446809,0.127659574468085,0.0638297872340425,0.106382978723404,0.148936170212766,0,0,0,0,0,0,1,0,0.936170212765957,0.191489361702128,0.787234042553192,0.936170212765957,0.191489361702128,0.787234042553192
"9","baghran",38,0.894736842105263,1,0.894736842105263,0.0263157894736842,3,3,6,0,9,2,0,0.447368421052632,0.447368421052632,0.289473684210526,0.5,0.289473684210526,0,0,0,0,3,2,3,6,1,0,0,0,0,15,2,0,0.868421052631579,0.710526315789474,0.210526315789474,0.0789473684210526,3,6,0,0,6,9,3,1,0.0526315789473684,0.131578947368421,0.973684210526316,0.263157894736842,0.0789473684210526,0,0,3,2,0,5,1,0,0.0263157894736842,0.289473684210526,0.0263157894736842,0.394736842105263,0.0789473684210526,0.263157894736842,0.210526315789474,0.157894736842105,0.0526315789473684,0.157894736842105,0,1,0,1,0,1,0,0,0,0,3,1,0,0.0526315789473684,0.131578947368421,0.973684210526316,0.263157894736842,0.0789473684210526,0,0,3,2,0,5,1,0,0,0.473684210526316,0,0,0.921052631578947,0,2,0,0,3,5,1,0,0.289473684210526,0.710526315789474,0.0526315789473684,0.921052631578947,0.631578947368421,2,2,0,3,2,9,2,0,0.710526315789474,0.736842105263158,0.763157894736842,0.710526315789474,0.736842105263158,0.763157894736842
"10","bakwa",25,0.64,1,0.64,0.12,2,2,6,0,6,2,0,0.32,0.92,0,0.32,0,0,0.04,0,0.04,3,6,0,3,0,0,0,0,0,12,1,0,0.4,0.04,0.16,0.4,1,0,0,1,1,2,1,0,0,0.12,0.96,0,0.16,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.12,0.96,0,0.16,0,0,3,0,0,3,1,0,0,0,0,0,0.72,0,0,0,0,2,2,1,0,0.2,0.36,0.04,0.4,0.8,0,1,0,1,3,5,1,0,0.16,0,0.16,0.16,0,0.16
